Question,Option 1,Option 2,Option 3,Option 4,Answer
"        #include <iostream>
         #include<stdio.h>>
        using namespace std;
        int func(void *Ptr);
        int main()
        {
            char *Str = ""Have a Nice Day"";                                      func(Str);
            return 0;
        }
        int func(void *Ptr)
        {
            printf(""%s\n"", ((int*)Ptr+3));
            return 0;
        }",e a Nice Day,Day,Error,Address of some part of string,2
"#include<stdio.h>
int main()
{
    int a = 100, b = 200, c = 300;
    if(!a >= 500)
        b = 300;
    else if(a<100);
        a=300;
    c = 400;
    printf(""%d %d %d"",a, b, c);
    return 0 ;
}","300 200 400
 ","

100  300  400
","300 300 400
",100 300  300,1
"#include<stdio.h>
int main()
{
    int a=0, b=1, c=2;
    *((a+1 == 1) ? &b : &a) = a ? b : c;
    printf(""%d%d%d\n"", a, b, c);
    return 0;
}",112,212,122,22,4
"#include <stdio.h>
main()
{
char * str = ""Welcome"";
char * ptr = str;
char a = 127;
while (*ptr++)
a = (*ptr<a ) ?*ptr :a;
printf(""%d"",a);
}",0,99,Infinte loop,127,1
"What is the output of this program?

    #include <iostream>
    using namespace std;
    int main ()
    {
        int x, y;
        x = 5;
        y = ++x * ++x;
        cout << x << y;
        x = 5;
        y = x++ * ++x;
        cout << x << y;
        return 0;
    }",749736,736749,367497, none of the mentioned,1
"#include <iostream>
#include <math.h>
using namespace std;

int main(){
        int x = (pow(2,10)),y;
        for (y = 0; x; y++)        x =(x & (x - 1));
        cout<<y<<endl;
        return 0;
}
",7,8,9,none of these,4
"#include<stdio.h>
int main(){
        int var=printf(""%d"",printf(""%d"",printf(""12"")))*printf(""%d"",printf(""%d"",printf(""12"")));
        printf(""%d"",var);
        return 0;
}
",122112211,221122112,Compile time error,122121121,1
"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int main(){
        string url=""www.google.com"";
        url:http://www.google.com/;
        cout<<url<<endl;
        return 0;
}
",Compile time error,http://www.google.com/,Runtime error,www.google.com,4
"#include <iostream>
#include <vector>
#include <algorithm>
using namespace std;
int fun(int var){
        if(var==1000);
        return var/10;
        var = fun(10*var);
        cout<<var<<endl;
        return var;
}
int main(){
        cout<<fun(10)<<endl;
        return 0;
}
",1,100,10,Runtime Error,1
"#include<stdio.h>
int main()
{int x;
x=printf(""Impetus\t%d\n"",x++);
x=printf(""%d\n"",++x);
printf(""%d\n"",--x);
y=x<<1;
if(y==1)
printf(""Concepts"");
else
printf(""Pradnya"");
return 0;
}","Impetus	7
8
6
Concepts","Impetus	0
8
6
Concpets","Impetus	0
11
2
Pradnya","Impetus	10
11
2
Pradnya",3
"#include<stdio.h>
int main()
{
int a[5][5],x,y,z;
int i,j;
z=0;
for( x=0;x<5;x++)
for( y=0;y<5;y++)
{
a[i][j]=z;
z=z+2;
}

printf(""%d\n"",*((int *)a+12)/ *((int *)a+2));
return 0;
}",8,24,12,None of this,4
"#include <iostream>
#include <math.h>
using namespace std;

int pradnya(int n){
	for(int i=2;i<sqrt(n);i++)	if(n%i==0) return 10;
	return 20;
}
int main(){
	cout<<pradnya(pradnya(pradnya(pradnya(23)>pradnya(21)?3:19)+23)+3);
	return 0;
}
",10,20,23,None of these,2
"#include<stdio.h>
int main()
{
char arr[80]=""This is a string."";
char *m,n,o,p;
m=arr;
n=*(m+3);
o=*(m+6);
p=*(m+10);

printf(""%c"",n+o+p);
return 0;
}
",Y,s,sss,3,1
"#include<stdio.h>
int main()
{
int l=45,m=12,n=67;
l=(++l,m=n+l,n--);
l<<2;
m&6;
n=l+m;
printf(""%d\n"",l+m+n);
return 0;
}",300,180,360,error,3
"#include<stdio.h>
int flag=0;
int main()
{
int a[10][10];
int m,i,k=0;
for(i=0;i<10;i++)
for(int j=0;j<10;j++)
{
a[i][j]=k;
k++;
} 
for(i=2;i<100;i=i+4)
{
m=*((int *)a+i);
if(m%7==0)
flag++;

}
printf(""%d\n"",flag);
return 0;
}
",4,5,6,error,1
"#include<stdio.h>
int main()
{
int x=16;
int *p1,*p2,*p3;
p1=&x;
p2=p1;
p3=p2;
if(*p1==*p2&&*p2==*p3)
printf(""Hello\n"");
else
printf(""Good Morning\n"");
if(&p1==&p2||&p1==&p3)
printf(""Hi\n"");
else
printf(""Good Evening\n"");
return 0;
}","Hi
Good Evening
","Hello
Good Evening
","Hello
Good Morning
","Hi
Good Morning
",2
"#include<stdio.h>
int main()
{
double *q;
int *p;
int a=19,b;
double x=76.91,y;
p=(int *)&x;
q=(double *)&a;
b=*q;
y=*p;
if(x==y)
printf(""Cricket\n"");
else
printf(""Football\n"");
if(a==b)
printf(""Hockey\n"");
else
printf(""Tennis\n"");
return 0;
}","Football
Tennis
","Cricket
Tennis
","Football
Hockey
","Cricket
Hockey
",1
"What will be the output of 
following program

#include<iostream>
using namespace std;

int main()
{
char * r=""Hello"";
char *p;
p=r;
p=p+5;
cout<<*p-*r;
return 0;
}",5,37,-72,garbage value,3
"#include <stdio.h>
int main()
{
  int a = 100;
  static int b = a;
   
  if(a == b)
     printf(""Both are Equal"");
  else if(a > b)
     printf(""a is Greater"");
  else
     printf(""b is smaller "");
  return 0;
}",Both are Equal,a is Greater,compliation error,b is smaller,3
"int main()
{
 char *p2 = ""PICTPUNE"";
 printf(""%c\n"", *&*&*p2);
 return 0;
}",P,I,garbage value,1028,1
"#include <stdio.h>
int main()
{
int arr[5] = {21, 10, 13, 90, 1};
int *ptr1 = &arr[0];
int *ptr2 = ptr1 + 3;
int x=ptr2;
int y=ptr1;
printf(""%d   "", x-y);
printf(""%d    "", ptr2 - ptr1);
    
return 0;
}","3,3","3, 12",69 3,"12, 12",3
"#include <iostream>
using namespace std;
int main()
{
int a=20,b=5,c;
a=a++ + --b - b++;
c=--a + ++b ;
c--;
cout<<c<<endl;
return 0;
}
",25,26,24,27,3
"#include <iostream>
using namespace std;
int main()
{
int a=101 , b=110 , c;
b=b>>1;
a=a<<2;
c= a & b;
cout<<c<<endl;
return 0;
}
",10,1,20,2,3
"#include <iostream>
using namespace std;
int main( )
{
int a= 22, b = 5, c ,d , e ;
c = b | 15 ;
d = ~a ;
e = c & d ;
e = e ^ 32 ;
cout<<e<<endl;
return 0;
}",41,40,39,38,1
"#include <iostream>
using namespace std;
class base
{
public:
base()
{
cout<<"" base c "";
}
~base()
{
cout<<"" base d "";
}
};
class derived: public base
{
public:
derived()
{
cout<< "" derived c "";
}
~derived()
{
cout<<"" derived d "";
}
};
int main()
{
derived d;
return 0;
}","base c
base d
derived c
derived d","base c
derived c
derived d
base c","derived c
derived d
base d
base c","derived c
base c
base d
derived d",2
"#include <stdio.h>
#include <stdlib.h>
int main()
{
float a=7.4;
int b=(int)a;
char c='P'-b;
char d=(char)c;
printf(""%d\n"",c);
return 0;
}
",H,I,73,80,3
"#include <stdio.h>
void dis( int *i, int *j )
{
*i = *i * *i ;
*j = *j * *j ;
}

int main()
{

int i = 5, j = 2 ;
 dis ( &i, &j );
printf ( ""\n%d %d"", i, j ) ;
}

",25  4,5  2,10  10,7  5,1
"#include <stdio.h>
int x = 7 ;
void display( )
{
printf( ""\n%d"",x);
}
int main( )
{
int x = 18 ;
printf(""\n%d"",x);
display();
return 0;
}
",7  18,18   18,18  7,7  7,3
"#include <stdio.h>
void main( )
{
int arr[ ] = { 10, 20, 30, 40, 50, 60, 70 } ;
int *i, *j ;
i = &arr[1] ;
j = &arr[5] ;
printf ( ""%d %d"", i-j, *j+*i ) ;
}",60 -40,-4   6,-60   6,-4  80,4
"//for 4byte int predict the output
#include<stdio.h>
#define inc(x,y,z) --x<<y>>z++
int main()
{
int a=1;
~a;
int b=0;
printf(""%x \t"",inc(b,3,a));
printf(""%x \n"",(-a)<<3);
}",fffffff8 fffffff0,fffffffc fffffff0,fffffff8 fffffff8,fffffffc fffffff8,2
"#include<stdio.h>
void main()
{
char a[15];
scanf(""%[abc]"",&a);
printf(""%s"",a);
}
//input is
//acdfabcaqabc",abc,acabcaabc,ac,abcabc,3
"#include<stdio.h>
#include<string.h>
#define pop(x,y) x*y
int main()
{
int a=10;
int b=20;
int c=1;
printf(""%d \n"",pop(a+++b---c,a+++c---b++));
printf(""%d \n"",a);
printf(""%d \n"",b);
printf(""%d \n"",c);
return 0;
}","2 
11 
22 
-1","1 
12 
20 
0 ","2
11 
22 
1","1 
11 
20 
0 ",2
"#include<stdio.h>
#define impetus(x,y,z) x*y+z
int main()
{
int arr[]={1,1,5,2,8,6};
int *a=(++*(arr+1),(&arr+1));
a=a-1;
++*a++;
a=a-2;
++*a;
int *p=a;
p=p-3;
++*p;
int *q=a+1;
int a1=*p;
int a2=*a;
int a3=*q;
printf(""%d"",impetus(a1,a2,a3));
return 0;
}",28,24,36,"None of these
",4
"#include<stdio.h>
int main()
{
int fun(int);
static int a=3;
fun(a=fun(fun(a)));
printf(""Value of a is %d\n"",a);
return 0;
}
int Concepts(int a)
{
printf(""Value of a is %d\n"",a);
}
int fun(int a)
{
int (*ptr)(int)=&Concepts;
return (*ptr)(--a);
}","Value of a is 2
Value of a is 16
Value of a is 17
Value of a is 17","Value of a is 2
Value of a is 15
Value of a is 16
Value of a is 17","Value of a is 2
Value of a is 15
Value of a is 14
Value of a is 13","Value of a is 2
Value of a is 16
Value of a is 16
Value of a is 15",2
"#include<stdio.h>
#define Morefun(x,y,z)x+y+z+fun(x,y,z)
int fun(int,int ,int);
enum INC{Pradnya=1,Pratibha=0,Techfun,Concepts=9,Design,Projects=4,Xodia};
int main()
{
enum INC i=Pradnya;
enum INC i2=Techfun;
enum INC i3=Design;
enum INC i4=Xodia;
struct pictpune
{
int arr1 : 1;
int arr2 : 5;
int arr3 : 3;
}pict={i,i3,i4};
printf(""%d "",Morefun(pict.arr1,pict.arr2,pict.arr3));
return 0;}
int fun(int x,int y,int z)
{enum INC i5;
int ret=(x+++y+++z,x+y+z);
int s=sizeof(i5);
int retu1=ret+s;
return retu1;
}",18,32,16,28,1
"int pict(int x, int *p2, int **p3) 
{ 
int y, z; 
**p3 += 1; 
z = **p3; 
*p2 += 2; 
y = *p2; 
x += 3; 
return (x * y * z); 
} 
void main() 
{ int a[]={1,2,3,4};
int c1, *c2, **c3; 
int *p=a;
++*p++;
*p++;
++*p;
c1=*p;
c2 = &c1; 
c3 = &c2; 
printf(""%d , %d  , %d"", a[0],a[1],pict(c1, c2, c3)); 
return 0;
}","1,3,245","2,3,350","2,2,245","1,2,350",3
"#include<iostream>
#define SQR(x) x*x;
using namespace std;
int main()
{
 int a0=2, a4=8, a7=SQR(a0+a4);
 int *a5; a5=&a0;
 int **a2=&a5;
 int ***a3=&a2;
 int ****a1 =&a3;
 cout<< (****a1&***&**&a3^(**&**&**&a3=a7));
 return 0;
}",102,24,Compile Time Error,26,2
"#include <iostream>
using namespace std;
#define print(x,y) (cout<<y*8)
void print_(int x, int val[][6])
{
 int average=0;
 for(int i=0;i <8;i++)
  for(int j=0; j<6; j++)
   average+=val[i][j];
 average = average/8;
 print (x,average);
}
int main(int argc, char const *argv[])
{
 int arr1[][6]={1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6,1,2,3,6,5,6};
 int *arr2[10];
 arr2[5] = *(arr1+4)+3;
 arr2[7] = *(arr1+1)+1;
 arr2[1] = *(arr1+5)+5;
 arr2[9] = *(arr1+4)+5;
 arr2[2] = *(arr1+3)+2;
 arr2[3] = *(arr1+8)+1;
 arr2[8] = *(arr1+1)+6;
 arr2[0] = *(arr1+3)+2;
 arr2[6] = *(arr1+4)+1;
 print_(6, arr1);
 return 0;
}",23,184,123656,Compile Time Error,2
"#include <iostream>
using namespace std;
#define print(x,y) cout<<y<<"" ""
#define PRADNYA(x,y) (x^y&x^y&1)
int main(int argc, char const *argv[])
{
 int arr1[][6]={1,2,3,6,5,6,9,9,1,6,5,6,1,2,3,6,5,6,1,2,3,7,9,6,6,5,6,1,2,3,2,4,3,6,5,6,1,2,3,6,5,6,8,7,5,6,5,6};
 int arr2[10]={0xBAD};
 arr2[5] = *(*(arr1+4)+3)&arr1[1][5];
 arr2[7] = *(*(arr1+1)+1)^arr1[5][1];
 arr2[1] = *(*(arr1+5)+5)|arr1[7][4];
 arr2[9] = *(*(arr1+4)+5)<arr1[3][2];
 arr2[3] = *(*(arr1+1)+2)|(arr1[1][3]|PRADNYA(*(*(arr1+1)+2),arr1[1][3]));
 for(int i=0; i<10; i++)
  print(0,arr2[i]);
 return 0;
}",2989 7 0 7 0 0 0 13 0 0,666568 7 0 7 0 0 0 13 0 1,666568 2 0 7 0 0 0 13 0 0,2989 2 0 7 0 0 0 13 0 1,1
"#include <iostream>
#include <string>
using namespace std;
typedef struct 
{
 long a; char q;
 void fun(){
  cout<<sizeof(a)+sizeof(q)<<"" "";
 }
}s;
typedef union {
 float f; double d;
 void fun(){
  cout<<sizeof(f)+sizeof(d)<<"" "";
 }
}c;
class pradnya
{
public:
 s c1; c s1;
 string  str = ""WELCOME"";
 pradnya(){
  str = ""PICT"";
 }
 void fun(){
  c1.fun(); s1.fun();
  cout<<sizeof(c1)<<"" ""<<sizeof(s1)<<"" ""<<str.size();
 }
};
int main(int argc, char const *argv[])
{
 pradnya p;
 cout<<sizeof(p)<<"" "";p.fun(); 
 return 0;
}",3 12 3 12 7,3 12 3 8 4,3 12 4 8 4,3 12 4 12 7,3
"#include<iostream>
using namespace std;
int main()
{
 short a=(1<<16)+(1<<10);
 short b = a <<1;
 short c = b >>3;
 short d = (b & c) >> 1;
 short e = (b | c) >> 1;
 cout<<d + e<<endl;
}",1007,1324,1821,1152,4
"#define MyChoicel 3
#include<stdio.h>
int main()
{
 char str[100];
 void * var = (void *)sprintf(str,""\""%s""""Pradnya""""\"""""""""""",""Now"",""Time"","""",""LetsCelebrate"");

 int MyChoice1 = 4;
 if(!((unsigned int)var%(MyChoicel*2)))
  printf(""Welcome"");
 if(!((signed long) var%(MyChoice1*2)))
  printf(""To"");
 if(!((signed int)var%(MyChoicel*2)))
  printf(""Event"");
 return 0;
}","Welcome
To
Event
","Welcome
Event
","Welcome
To",Error,2
"#include<iostream>
#include<math.h>
using namespace std;
int main()
{
// cout<<(3<<1)<<"" ""<<(5<<6)<<"" ""<<(1<<2)<<"" ""<<(6<<3)<<endl;
 int arr[3<<1][5<<6][1<<2][6<<3]={0};
 for(int i=0; i<3<<1;i++)
  for(int j=0; j<5<<6;j++)
   for(int k=0; k<1<<2; k++)
    for(int l=0; l<6<<3;l++)
     arr[i][j][k][l] = (i*j*k*l)%(i+j+k+l+1);
 cout<<(arr[3][4*4][5/2][6*6] | arr[1][98][1<<1][3<<2]);
}",102,106,"6 320 4 48
106
","6 320 4 48
102
",2
"What is the output of the following program?

#include<stdio.h>
#define aa(a,b) (a)||(b)
#define ab(a,b) (a)&&(b)
#define ba(a,b) (a)&&(b)
#define bb(a,b) (a)^(b)
int main(){
 int a=-1,b=0,c=1,d=0,e,f;
 e=(ab(++a+b--+c+++--d,b+a+++c+d--));
 f=(aa(++a+b--+c+++--d,--b+a+c--+d));
 printf(""%d %d %d %d %d %d"",a,b,c,d,e,f);
}
",1 -3 2 -2 0 1   ,1 -3 2 -2 1 0,2 -3 3 -3 0 1,1 -3 2 -2 0 0,1
"what is the output of following program?

#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a=1;
 int arr[]={122,123,124,125};
 printf(""%d %x"",arr[EXIT_SUCCESS],arr[printf(""%d "",a)]);
}
",1  123  7c,122  1 7c,1   122  7c,122 7c 1,3
"What is the output of following program?

#include <stdio.h>
using namespace std;
#define yes(s) #s
#define get(a,b,c,d,e,f,g,h,i) a##b##c##d##e##f##g##h##i
#define square(x) x*x
int main() {
 char *p=yes(PICT Pradnya);
 long int n=get(1,0,0,0,0,0,0,0,0);
 n>>=20;
 printf(""%s %ld"",p,square(n+9));
}
",compile error,PICT Pradnya 1000,PICT Pradnya 969 ,PICT Pradnya 959,4
"What is the output of following program?

#include <stdio.h>
#include <stdlib.h>
int func1(int x, int y)
{
 if (y == 0)
  return x;
 else
  return func1( x ^ y, (x & y) << 1);
}
int func2(int x, int y)
{
    return printf(""%*c%*c"",  x, ' ',  y, ' ');
}
int main(void) {
 printf(""%d"",func2(5,4)+func1(50,30));
}
",(Note: Output Contains Space)89,(Note: Output Contains Space)89,(Note: Output Contains Space)89,(Note: Output Contains Space)89,1
"What is the output of following program?

#include <stdio.h>
#include <string.h>
int func1(int n)<%
 if(n==1)
  return 1;
 return n*func1(n-1);
%>
int main(void) <%
 char arr<:7:>=<%'a','p','r','d','n','y','a'%>;
 int a<:10:>,i;
 for(i=1;i<=10;i++)<%
   a<:i-1:>=func1(i);
 %>
 for(i=1;i<=10;i++)<%
  printf(""%c"",arr<:a<:i-1:>%7:>);
 %>
%>

",pradpaaaaa    ,pradnyaaa,compile error    ,pradnyaaaa,1
"What is the output of the following program?

#include <stdio.h>
#include <stdlib.h>
#include <math.h>
int main(void) {
 double d=0.0/0.0;
 double f=-INFINITY;
 double h=-HUGE_VAL;
 double i=-HUGE_VALF;
 double j=-HUGE_VALL;
 printf(""%lf %lf %lf %lf %lf"",d,f,h,i,j);
 float a=1;
 double b=1;
 if(h==f&&i==j)
  printf("" equal"");
 else
  printf(""not equal"");
}
",  -inf -inf -inf -inf -inf equal,    nan inf -inf -inf -inf equal,  -nan -inf -inf inf inf equal,  -nan -inf -inf -inf -inf equal,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
char fun(){
 return '*';
}
int main(void) {
 static int a=5,b=10;
 char (*p)();
 p=&fun;
 if(a&&b){
 printf(""*%*c\n"",a,p());
 a--;
 main();
 }
 b--;
}

","  **
  * *
  *  *
  *   *
  *    *","   *    *
   *   *
   *  *
   * *
   **
",  compile error,  stack overflow,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
#define __n__(x) x*x+x*x;
int fun(int x){
 return __n__(x+x);
}
int fun2(int x){
return __n__(x+x*x);
}
int main(PRADNYA16) {
 int (*p)();
 int (*q)();
p=fun;q=fun2;
 char ch[20]=""abcdefghijklm"";
 printf(""%5.2s "",ch);
 printf(""%d %d %d"",(*p)(9),(*q)(7),sqrt('a'));

}

",     ab 198 799 198, compile error,   none of these,     ab 324 798 198,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 auto i;
 register j;
 long int k;
 extern h;
 static n;
 printf(""%d %d %d %d %d"",i,j,k,h,n);
}
h;


",   0 0 garbage 0 0, 0 0 garbage garbage 0, compile error,   garbage 0 garbage 0 0,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
#define INC PRADNYA16
int main(INC) {
 int (*q)[3][4];
 int (*fun())[3][4];
void fun2(int (*q)[3][4]);
 q=fun();
 fun2(q);
}
void fun2(int (*q)[3][4]){
 int i,j;
 for(i=0;i<3;i++){
  for(j=0;j<4;j++){
   printf(""%d "",(*q)<:i:><:j:>*(*q)[i][j]);
  }
 }
}
int (*fun())[3][4]{
 static int a[3][4]={{1,2,3,4},{5,6,7,8},{9,10,11,12}};
 return (int(*)[3][4])a;
}


",  1 4 9 16 25 36 49 64 81 100 122 144,none of these,   compile error,  1 4 9 16 25 36 49 64 81 10 121 144,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int (*q)[4],i,j,k;
 int (*fun())[4];
 int *p;
 q=fun();
 for(i=0;i<2;i++){
  p=(int*)(q+i*3);
  for(j=0;j<3;j++){
   for(k=0;k<4;k++){
    printf(""%d "",*p);p++;
   }
  }
 }
}
int (*fun())[4]{
 static int a[2][3][4]={
   {
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   },{
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   }
 };
 return (int(*)[4])a;
}



",   1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12, 1 2 3 4 5 6 7 8 9 10 11 12,   compile error,   1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int (*q)[3][4],i,j,k;
 int (*fun())[3][4];
 int *p;
 q=fun();
for(i=0;i<2;i++){
  p=(int*)(q+i);
  for(j=0;j<3;j++){
   for(k=0;k<4;k++){
    printf(""%d "",*p);p++;
   }
  }
 }
}
int (*fun())[3][4]{
 static int a[2][3][4]={
   {
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   },{
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   }
 };
 return (int(*)[3][4])a;
}


",     1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12, 1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 1 2 3 4,   compile error,    1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3,1
"What is the output of following program?
int main(void) {
 int *q=(int*)malloc(sizeof(int)*10),i;
 int *r=(int*)calloc(10,sizeof(int));
 int *p=q;
 for(i=0;i<10;i++){
  if(*q==*r){
   q++;
   r++;
  }
 }
 free(p);
 free(r);
}



",   0 0 0 0 0 0 0 0 0 0,invalid pointer,   compile error,  no output,2
"What is the output of following program if address of a=3998953552?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a[]={1,2,3,4,5};
 int b;
 b=a;
 b++;
 int *c=a;
 printf(""%u %u %u"",++b,a,++c);
}



",   3998953554 3998953552 3998953556,3998953556 3998953552 3998953556,  3998953555 3998953552 3998953556,  3998953558 3998953552 3998953556,1
"
What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int arr[]={1,2,3,4};
 int *p=arr+sizeof(arr)/sizeof(int)-1,i;
 for(i=0;i<4;i++){
  printf(""%d "",p[-i]);
  p[-i]=arr[i]+i[arr];
  printf(""%d "",p[-i]);
 }
}


",   4 2 3 4 2 8 1 4, compile error,   4 2 3 4 8 2 1 4,  4 2 3 4 2 8 4 1,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char n[]=""hello"";
 char n2[6];
 char *p=""bye"";
 p=n;
 n2=n;
 printf(""%s %s"",p,n2);
}


", compile error,hello bye,bye hello,hello hello   ,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
float a=5.2;
 double b=5.2;
 long double c=5.2;
 if(a==b==c)
  printf(""EQUAL "");
 if(a==5.2&&b==5.2&&c>5.2)
  printf(""INC "");
 printf(""PRADNYA\'16"");
}

",   PRADNYA\'16,EQUAL INC PRADNYA\'16,PRADNYA'16,   EQUAL PRADNYA'16,3
"What is the output of following program?
#include<stdio.h>
char _n_(int,...);
int main(){
    char (*p)(int,...)=&_n_,i;
    for(;i=(*p)(0,1,2,3,4); )
         printf(""%d"",65);
    return 0;
}
char _n_(int a,...){
    static i=-1;
    printf(""%d"",20);
    return i+++a;
}


",compile error,2065,206520,65,3
"What is the output of the following program?
#include <stdio.h>
int main() {
 printf(""%s "",""HELLO"");
 printf(""%9s "",""HELLO"");
 printf(""%.9s "",""HELLO"");
 printf(""%-9s "",""HELLO"");
printf(""%-9.9s "",""HELLO"");
 printf(""%9.9s "",""HELLO"");
}


",    HELLO HELLO          HELLO HELLO HELLO         HELLO,HELLO     HELLO HELLO HELLO HELLO         HELLO,HELLO     HELLO HELLO          HELLO     HELLO         HELLO,   HELLO     HELLO HELLO HELLO     HELLO         HELLO,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main() {
 char *p=""ANC"";
 p=""INC\'16"";
 printf(""%s"",p);
 const char *q=""PICT"";
 q=""INC16"";
 printf("" %s"",q);
 char const *s=""INC16"";
 s=""PICT"";
 printf("" %s"",s);
 char* const t=""PRADNYA"";
 printf("" %s"",t);
 const char* const u=""INC16"";
}



",INC\'16 INC16 PICT PRADNYA    ,INC'16 INC'16 PICT PRADNYA,compile error,   INC'16 INC16 PICT PRADNYA,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char a[2][2][2]={""Hi"",""bye"",""cya""};
 char b[2][2][2]={""Hi"",""bye"",""cya""};
 char c[2][2][2],d[2][2][2];
 strcpy(c,a);
 strcpy(d,b);
 if(strcmp(a,d)||strcmp(c,b))
  printf(""hi "");
 if(a==b&&c==d&&b==c&&a==d)
  printf(""hey "");
 printf(""hello"");
}



",    hi hello,hello,hi hey hello,   compile error,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char s[4]=""ABCDE"";
 size_t a=2147483648;
 char *str[]={""PICT"",""INC"",""16"",""PRADNYA""};
 char *p=s+4;
 *p='A';
 p++;
 *p='B';
 p++;
 *p=0;
 printf(""%s %d %d %d"",s,a,sizeof(a),sizeof(str));
}


",ABCDEAB 2147483648 64 32,ABCDEAB -2147483648 8 32,ABCDAB -2147483648 8 32,   ABCDAB 2147483647 64 32,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 switch(1){
  int f=1,i,n=10;
  for(i=n;i>=1;i--)
   f*=i;
  printf(""%d "",f);
  break;
  f=1,n=5;
  for(i=n;i>=1;i--)
  f*=i;
  printf(""%d "",f);
  break;
 }
 int f=1,a=15,b=3,i;
 for(i=0;i<b;i++)
  f*=a;
 printf(""%d "",f);
}



",    3628800 120 3375,compile error,3375,   3628800 3375,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a=10,b=5,c=8,d=20;
 d=++a&&(b++*c<<2)/(a+2,b-2,c+3);
 printf(""%d"",d);
}


",0,none of these,compile error ,   runtime error,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 static int a[]={1,2,3,4};
 int *p=a;
 int *q=a+sizeof(a)/sizeof(int)-1;
 int *r=a+2;
 int var1=*p+++(*p)--+*p+++*r--+*q;
 int var2=++*q-++*p+--*r+*r++;
 int var3=(*p+++(*p)--+*p+++*r--+*q)&&(++*q-++*p+--*r+*r++);q--;
 printf(""%d %d %d %d"",var1,var2,var3,a[(*p+*q+*r)%4]);
}


",1 11 1 -1,11 1 -1 -1,11 1 1 -1,1 1 -1 -1   ,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
typedef struct INC{
 char *c;
 const char a[20];
 short int code;
}PRADNYA;
int main(void) {
 PRADNYA *c=(PRADNYA*)malloc(sizeof(PRADNYA));
 c->c=""FIRST"";
 strcpy(c->a,""ROUND"");
 c->code=2147483648;
 printf(""%s %s %d "",c->c,c->a,c->code);
 c->c=""PRADNYA"";
 c->code=32768;
 c->a=""C/C++"";
 printf(""%s %s %d "",c->c,c->a,c->code);
}


",FIRST ROUND 0 PRADNYA ROUND -32768,FIRST ROUND 0 PRADNYA C/C++ -32768,compile error,   FIRST ROUND 0 PRADNYA ROUND 32768,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
typedef struct INC{
 char *c;
 const char a[20];
 short int code;
}PRADNYA;
int main(void) {
 PRADNYA *c=(PRADNYA*)malloc(sizeof(PRADNYA));
 c->c=""FIRST"";
 strcpy(c->a,""ROUND"");
 c->code=2147483648;
 printf(""%s %s %d "",c->c,c->a,c->code);
 c->c=""PRADNYA"";
 c->code=32768;
 c->a=""C/C++"";
 printf(""%s %s %d "",c->c,c->a,c->code);
}


",FIRST ROUND 0 PRADNYA ROUND -32768,FIRST ROUND 0 PRADNYA C/C++ -32768,compile error,   FIRST ROUND 0 PRADNYA ROUND 32768,3
