Question,Option 1,Option 2,Option 3,Option 4,Answer
"#include<stdio.h>
#define __sq__(x) x*x
enum { a,b,c,d=5,e};
int main() 
{
int i=-1,j=-2,k;
k=++i&&++j||++j;
if(j&&k)        
printf(c+""HelloWorld %d "",__sq__(e+2));
else
printf(b+""Pict"",__sq__(a+3));
return 0;
}",oWorld 20,lloWorld 20 ,t 11,ict ,2
"#include <stdio.h>
int main() {
static int i,j;
int a[][3][2]={10,4,12,1,8,6,7,5,9,2,11,3};
int k=*(*(*(a+1)+1));
while(i<10,j<20)
        {
        i++;
        j++;
        }
        k++;
        if(j&k)
        printf(""%o %x "",i,k);
        else
        printf(""%o %x "",k,i);
        return 0;
}
",12 10,12 a,3 a,12 14,4
"#include <stdio.h>
#include <string.h>
int main(void) 
{
char a[]=""PICT Pune"",b[]=""Hello World"";  
int arr[] = {0,3,5,0,10};
        scanf(""%*s %[^e]"",a,b);                   //input is Live and Let Live
int k=strlen(a);
int l=strlen(b);
int i=0;
int temp=k&arr[2];
int temp2=l&arr[1];
        printf(""%d"",temp|temp2);
return 0;
}",1,6,3,7,4
"   #include <stdio.h>
   #include <stdlib.h>
   #include <math.h>

    int main()
    {
    int y, x = 5;
        int array[][3] = { 0, 1, 2, 3, 4, 5 };
    while( x --> 0 );{
            y = x--;
    }        
    int k=abs(x)* *(*(array+1)+2);
          printf(""%d %d %d\n"", (int)pow(k,abs(x)), (6, array[0,1][1,2]), y);
        return 0;
    }
",100 6  -2,5  6   0,5   5   -1, 100 5 -1 ,4
"#include <stdio.h>
int main(void) 
{
int i=0;
int array[] = { [0 ... 9] = 1, [10 ... 20] = 2, [30 ... 35] = 3, [35 ... 40]=4};
int *x=array;
int (*y)[4]=(array+20);
int *q=y[2];
q++;

 *x =*x+*(q+1);
 *(q+1) =*x-*(q+1);
 *x =*x-*(q+1);
q++;
printf(""%d"",*x-*q); 
return 0;
}
",6,3,2,-1,3
"#include<stdio.h>
int main(int argc,char *argv[])
{
        printf(""%s %c %s \n"",*argv,*(*argv++),*++argv);
}
// argument given is College Life",./a.out . Life,Life C College ,Life L College,./a.out C Life,2
"#include <stdio.h>
#include <string.h>
int main()
{
char (*temp)[4];
char a[]=""%google.com%olacab%d%%%cab"";
temp= (char(*)[4] ) strstr(a,""cab"");
temp--;
int x=10;
char z='ABC';
char str[10]="""";
strcpy(str,(const char *) temp);
printf(str,x,z,z);
brk(0);
}",12lacab67%Cab,acab10%Aab,acab10%%Cab,10lacab67%Cab,1
"#include<stdio.h>
#define int char
main()
{
int i='a';
for(;i<'A'+'A';i++)
printf(""%d "",i);
}

",97 98 99.... 129,65 66 67 .... 193,Error,None of these ,4
"Q.4 If 9435492 is the base index of array a,what will be the output:
#include<stdio.h>
int point(int*);
int main()
{
 int a[10],*p,n=100;
 p=&a[0];
 p+=point(&n);
 printf(""%d"",p);
Return 0;
}
int point(int*x)
{
int a=100,c=20;
float b=10.90;
    *x=-a%c+a/b; 
return *x;
}",9435496,9435492,9435528,remains same,3
"#include <iostream>
 using namespace std;
 int main()
 {
 char *arr[] = {""1234"", ""5678"", ""9012"", ""3456""};
 char *(*ptr)[4] = &arr;
 ++(*ptr)[2];
 char *d=((*ptr)[2]++);
 char *c=((*ptr-1)[4]);
 int count=(int)*c;
 if(*d-49)
 {
 int x=*d-47;
 x++;
 switch(x)
 {
 count+=10;
 case 0:
 count=+0;
 case 1:
 count+=1;
 case 2:
 count+=2;
 case 3:
 count+=3;
 }
 
 }
 else
 {
 int x=(int)*d-47;
 x++;
 switch(x)
 {
 count-=10;
 case 0:
 count-=0;
 case 1:
 count-=1;
 case 2:
 count-=2;
 case 3:
 count-=3;
 }
 }
 cout<<count<<endl;
 return 0;
 }",46,56,71,34,2
"#include <stdio.h>
#define f(x) (((x>>31)^x) - (x>>31))
int main()
{
	int a=10, b=-9, c=100, d=1000, e=-1200;
	printf(""%d\t%d\t%d\t%d\t%d\n"", f(a),f(b),f(c),f(d),f(e));
	return 0;
}
",10	9	100	1000	1200,10	-9	100	1000	-1200,-10	-9	-100	-1000	-1200,10	-10	100	1000	-1201,1
"#include<bits/stdc++.h>
 using namespace std;
 class abc
 {
 public:
 abc()
 {cout<<""constructor of abc""<<endl;}
 ~abc()
 {cout<<""destructor of abc""<<endl;}
 };
 class def
 {
 public:
 def()
 {cout<<""constructor of def""<<endl;}
 ~def()
 {cout<<""destructor of def""<<endl;}
 };
 class xyz:public abc,def
 {
 public:
 xyz()
 {cout<<""constructor of xyz""<<endl;}
 ~xyz()
 {cout<<""destructor of xyz""<<endl;}
 };
 class pqr:public xyz,abc,def
 {
 public:
 pqr()
 {cout<<""constructor of pqr""<<endl;}
 ~pqr()
 {cout<<""destructor of pqr""<<endl;}
 };
 int main()
 {
 pqr *x;
 x=new pqr();
 free(x);
 return 0;
 }","constructor of abc
 constructor of def
 constructor of xyz
 constructor of abc
 constructor of def
 constructor of pqr","constructor of abc
 constructor of def
 constructor of xyz
 constructor of abc
 constructor of def
 constructor of pqr
 destructor of pqr
 destructor of def
 destructor of abc
 destructor of xyz
 destructor of def
 destructor of abc","constructor of abc
 constructor of def
 constructor of xyz
 constructor of pqr
 destructor of pqr
 destructor of xyz
 destructor of def
 destructor of abc","constructor of abc
 constructor of def
 constructor of xyz
 Constructor of pqr",1
"#include<bits/stdc++.h>
 using namespace std;
 int main()
 {
 char c[10],d[10],e[10];
 scanf(""%3s"",&e);
 scanf(""%*[abc]%6s"",&c);
 scanf(""%[^abc]"",&d);
 Printf("" %s"",d);
 Printf("" %s"",e);
 Printf("" %s"",c);
 return 0;
 }
 // input string is abcbbcdefdefrqweatg",rqwe abc defdef,defrgweatg abc bbcdef,defrgwe abc def,None of this,1
"#include <stdio.h>
#include <stdlib.h>
void print()
{
	printf(""HelloWorld\t"");
}

inline int* f1(int *a, int *b)
{
	int *c;
	int p=*a+*b;
	c=&p;
	return c;
}

int* f2(int *a, int *b)
{
	int *c=(int*)malloc(sizeof(int));
	*c=*a+*b;
	Return c;
}

int main(int argc, char const *argv[])
{
	int a=1;
	int b=2;
	int *p1=f1(&a,&b);
	int *p2=f2(&a,&b);
	print();
	printf(""%d\t"",*p1);
	printf(""%d\t"",*p2);
	return 0;
}",HelloWorld	Garbage value 	3,HelloWorld        3        3,HelloWorld	3	Garbage value,HelloWorld        Garbage value        Garbage value,1
"#include<bits/stdc++.h>
 using namespace std;
 int main()
 {
 char c[10],d[10],e[10];
 scanf(""%3s"",&e);
 scanf(""%*[abc]%6s"",&c);
 scanf(""%[^abc]"",&d);
 Printf("" %s"",d);
 Printf("" %s"",e);
 Printf("" %s"",c);
 return 0;
 }
 // input string is abcbbcdefdefrqweatg",rqwe abc defdef,defrgweatg abc bbcdef,defrgwe abc def,None of this,1
"#include <stdio.h>
int f(int x)
{
	int c=0;
	while(x)
	{
		c++;
		x&=x-1;
	}
	return c;
}
int main(int argc, char const *argv[])
{
	int a=127,b=20,c=10,d=31,e=-1;
	printf(""%d %d %d %d %d"",f(a),f(b),f(c),f(d),f(e));
	return 0;
}",7 2 2 5 32,7 2 1 2 0,7 2 1 2 32,7 2 2 5 0,1
"//In a hypothetical situation:
//If the size of heap is 104KB & size of stack is 204KB, 
//what can be the max no of ""Hello""'s of the following C program:

#include <stdio.h>
#include <stdlib.h>
#define ll long long
char* f()
{
	char *c;
	c = (char *)malloc(5000*sizeof (char));
	if(c!=NULL)
		return ""Hello"";
	return """";
}
int main(int argc, char const *argv[])
{
	char* (*p)();
	p=f;
	int cnt=100;
	while(cnt--)
	{
		printf(""%s\n"",p());
	}
	return 0;
}
",Hello 20 times,Hello 21 times,Hello 60 times,Hello 100 times,1
"#include <stdio.h>

int product1(int arr[])
{
        int size=sizeof arr/sizeof arr[0];
        int p=1;
        int i;
        for(i=0;i<p;i++)
                p=p**(arr+i);
        return p;
}

int product2(int *arr)
{
        int size=sizeof arr/sizeof arr[0];
        int p=1;
        int i;
        for(i=0;i<p;i++)
                p=p**(arr+i);
        return p;
}

int main(int argc, char const *argv[])
{
        int arr[]={1,2,3,4};
        printf(""%d\n"",product1(arr));
        printf(""%d\n"",product2(arr));
        return 0;
}","1 
1","24 
1","24 
24",Compilation Error,1
"#include <stdio.h>
#define f(x) (((x>>31)^x) - (x>>31))
int main()
{
	int a=10, b=-9, c=100, d=1000, e=-1200;
	printf(""%d\t%d\t%d\t%d\t%d\n"", f(a),f(b),f(c),f(d),f(e));
	return 0;
}
",10	9	100	1000	1200,10	-9	100	1000	-1200,-10	-9	-100	-1000	-1200,10	-10	100	1000	-1201,1
"#include <stdio.h>
#include <stdlib.h>

const char* f(const char *c)
{
	return c;
}
int main(int argc, char const *argv[])
{
	char c[] = ""Hello"";
	char *c1=f(c);
	c1[0]='H';
	printf(""%s\n"",c1);
	return 0;
}",Hello,Runtime Error,0,Compile Error at line: c1[0]='H',1
"What will be the output
#include<stdio.h>
int main()
{
int a=5,b=4,c=3,d=4,i=0;
if(a^b==2&&c&d==0)
{
printf(""loop1 "");
goto loop2;
}
else
goto start;
for(i=0;i<=a;i++)
{
   loop2:
d++;
start:;
 }
printf(""%d"",d++);
return 0;
}",Loop1 6,9 and 11,Loop1 8,Loop1 7,2
"#include <stdio.h>
#define ll long long
int main(int argc, char const *argv[])
{
	ll a=1;
	a=a<<20;
	ll c=0;
	ll cnt=0;
	for(ll i=0;i<a;i++)
	{
		ll j=i;
		c=0;
		while(j)
		{
			c+=j&1;
			j=j>>1;
		}
		if(c==2)
			cnt++;
	}
	printf(""%lld\n"", cnt);
	return 0;
}",190,200,210,220,1
"#include <stdio.h>
#define f1(x) (sizeof(x)/sizeof(*x))
#define f2(x) (sizeof(x)/sizeof(typeof(*x)))
#define ll long long
int main(int argc, char const *argv[])
{
	ll arr[100];
	arr[0]=1;
	int a=f1(arr);
	int b=f2(arr);
	printf(""%d\t%d\n"",a),b;
	
	return 0;
}",100	Garbage Value,200	Garbage value,100	100,200	100,1
"#include <stdio.h>
int main(int argc, char const *argv[])
{
	typeof(sizeof(int)) i;
	i=0;
	i--;
	if(i<0)
		printf(""i is negative\t"");
	else
	{
		printf(""i is positive\t"");
		while(i--)
			printf(""Hello\t"");
		printf(""%lu\n"",sizeof(i));	
	}
	return 0;
}",i is positive	Hello(2^64 times)	8,i is positive	Hello(2^32 times)	4,i is positive	Hello(2^32-1 times)	4,i is negative	,1
"#include <iostream>
using namespace std;
#define f1(x,y) (x^=y^=x^=y)
#define f2(x,y) (y^=x^=y^=x)
int main(int argc, char const *argv[])
{
	int a=5;
	int b=10;
	int c=f1(a,b)++ + f2(a,b)++;
	cout<<a<<""\t""<<b<<""\t""<<c<<endl;
	return 0;
}","6	11	15
","7	10	15
","6	11	16
","7	10	16	
",1
"#include <stdio.h>
f(char a)
{
	return a;
}
typedef struct st
{
	char a:3;
}s1;
int main()
{
	s1.a=1;
	while((s1.a))
	{
		printf(""%d\t"",f(s1.a));
		s1.a++;
	}
	return 0;
}
","1	2	3	-4	-3	-2	-1
","1	2	3
","Infinite loop
","Compilation error
",1
"#include <stdio.h>

struct st
{
	typeof(sizeof(long double)) a:3;
};
int main()
{
	struct st s1;
	s1.a=1;
	while((s1.a))
	{
		printf(""%d\t"",s1.a);
		s1.a++;
	}
	return 0;
}","1	2	3	4	5	6	7
","1	2	3	-4	-3	-2	-1
","1	2	3
","Infinite loop
",1
"#include <iostream>
#include <bitset>
using namespace std;
typedef bitset<0> b0;
typedef bitset<32> b1;
typedef bitset<64> b2;
#define f(x,y) (b##y*)(&x+1)-(b##y*)(&x)
int main(int argc, char const *argv[])
{
	long l;
	cout<<f(l,0)<<""\t""<<f(l,1)<<""\t""<<f(l,2)<<endl;
	return 0;
}","8	1	1
","Infinite	1	1
","64	1	0
","Infinite	1	0
",1
"#include<bits/stdc++.h>
using namespace std;
#define MAXX 3
#define MAXY 4
#define MAXZ 5
int main()
{
int ***p,i,j,k;
p=(int***)malloc(MAXX*sizeof(int**));
for(int i=0;i<MAXX;i++)
{
p[i]=(int**)malloc(MAXY*sizeof(int*));
for(int j=0;j<MAXY;j++)
p[i][j]=(int*)malloc(MAXZ*sizeof(int));
}
for(int k=0;k<MAXZ;k++)
{
for(int i=0;i<MAXX;i++)
{
for(int j=0;j<MAXY;j++)
{
p[i][j][k]=i+j+k;
printf(""%d"",p[k][j][i]);
}
printf(""\n"");
}
}
return 0;
}","01234
12345
23456
34567
12345
23456
34567
45678
23456
34567
45678
56789"," 0123
0000
0000
1234
2345
0000
2345
3456","0123
1234
2345
1234
2345
3456
2345
3456
4567
3456
4567
5678
4567
5678
6789", Error,4
"What is the output of the following program?

#include<stdio.h>
#define aa(a,b) (a)||(b)
#define ab(a,b) (a)&&(b)
#define ba(a,b) (a)&&(b)
#define bb(a,b) (a)^(b)
int main(){
 int a=-1,b=0,c=1,d=0,e,f;
 e=(ab(++a+b--+c+++--d,b+a+++c+d--));
 f=(aa(++a+b--+c+++--d,--b+a+c--+d));
 printf(""%d %d %d %d %d %d"",a,b,c,d,e,f);
}
",1 -3 2 -2 0 1   ,1 -3 2 -2 1 0,2 -3 3 -3 0 1,1 -3 2 -2 0 0,1
"what is the output of following program?

#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a=1;
 int arr[]={122,123,124,125};
 printf(""%d %x"",arr[EXIT_SUCCESS],arr[printf(""%d "",a)]);
}
",1  123  7c,122  1 7c,1   122  7c,122 7c 1,3
"What is the output of following program?

#include <stdio.h>
using namespace std;
#define yes(s) #s
#define get(a,b,c,d,e,f,g,h,i) a##b##c##d##e##f##g##h##i
#define square(x) x*x
int main() {
 char *p=yes(PICT Pradnya);
 long int n=get(1,0,0,0,0,0,0,0,0);
 n>>=20;
 printf(""%s %ld"",p,square(n+9));
}
",compile error,PICT Pradnya 1000,PICT Pradnya 969 ,PICT Pradnya 959,4
"What is the output of following program?

#include <stdio.h>
#include <stdlib.h>
int func1(int x, int y)
{
 if (y == 0)
  return x;
 else
  return func1( x ^ y, (x & y) << 1);
}
int func2(int x, int y)
{
    return printf(""%*c%*c"",  x, ' ',  y, ' ');
}
int main(void) {
 printf(""%d"",func2(5,4)+func1(50,30));
}
",(Note: Output Contains Space)89,(Note: Output Contains Space)89,(Note: Output Contains Space)89,(Note: Output Contains Space)89,1
"What is the output of following program?

#include <stdio.h>
#include <string.h>
int func1(int n)<%
 if(n==1)
  return 1;
 return n*func1(n-1);
%>
int main(void) <%
 char arr<:7:>=<%'a','p','r','d','n','y','a'%>;
 int a<:10:>,i;
 for(i=1;i<=10;i++)<%
   a<:i-1:>=func1(i);
 %>
 for(i=1;i<=10;i++)<%
  printf(""%c"",arr<:a<:i-1:>%7:>);
 %>
%>

",pradpaaaaa    ,pradnyaaa,compile error    ,pradnyaaaa,1
"What is the output of the following program?

#include <stdio.h>
#include <stdlib.h>
#include <math.h>
int main(void) {
 double d=0.0/0.0;
 double f=-INFINITY;
 double h=-HUGE_VAL;
 double i=-HUGE_VALF;
 double j=-HUGE_VALL;
 printf(""%lf %lf %lf %lf %lf"",d,f,h,i,j);
 float a=1;
 double b=1;
 if(h==f&&i==j)
  printf("" equal"");
 else
  printf(""not equal"");
}
",  -inf -inf -inf -inf -inf equal,    nan inf -inf -inf -inf equal,  -nan -inf -inf inf inf equal,  -nan -inf -inf -inf -inf equal,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
char fun(){
 return '*';
}
int main(void) {
 static int a=5,b=10;
 char (*p)();
 p=&fun;
 if(a&&b){
 printf(""*%*c\n"",a,p());
 a--;
 main();
 }
 b--;
}

","  **
  * *
  *  *
  *   *
  *    *","   *    *
   *   *
   *  *
   * *
   **
",  compile error,  stack overflow,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
#define __n__(x) x*x+x*x;
int fun(int x){
 return __n__(x+x);
}
int fun2(int x){
return __n__(x+x*x);
}
int main(PRADNYA16) {
 int (*p)();
 int (*q)();
p=fun;q=fun2;
 char ch[20]=""abcdefghijklm"";
 printf(""%5.2s "",ch);
 printf(""%d %d %d"",(*p)(9),(*q)(7),sqrt('a'));

}

",     ab 198 799 198, compile error,   none of these,     ab 324 798 198,3
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 auto i;
 register j;
 long int k;
 extern h;
 static n;
 printf(""%d %d %d %d %d"",i,j,k,h,n);
}
h;


",   0 0 garbage 0 0, 0 0 garbage garbage 0, compile error,   garbage 0 garbage 0 0,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
#define INC PRADNYA16
int main(INC) {
 int (*q)[3][4];
 int (*fun())[3][4];
void fun2(int (*q)[3][4]);
 q=fun();
 fun2(q);
}
void fun2(int (*q)[3][4]){
 int i,j;
 for(i=0;i<3;i++){
  for(j=0;j<4;j++){
   printf(""%d "",(*q)<:i:><:j:>*(*q)[i][j]);
  }
 }
}
int (*fun())[3][4]{
 static int a[3][4]={{1,2,3,4},{5,6,7,8},{9,10,11,12}};
 return (int(*)[3][4])a;
}


",  1 4 9 16 25 36 49 64 81 100 122 144,none of these,   compile error,  1 4 9 16 25 36 49 64 81 10 121 144,2
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int (*q)[4],i,j,k;
 int (*fun())[4];
 int *p;
 q=fun();
 for(i=0;i<2;i++){
  p=(int*)(q+i*3);
  for(j=0;j<3;j++){
   for(k=0;k<4;k++){
    printf(""%d "",*p);p++;
   }
  }
 }
}
int (*fun())[4]{
 static int a[2][3][4]={
   {
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   },{
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   }
 };
 return (int(*)[4])a;
}



",   1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12, 1 2 3 4 5 6 7 8 9 10 11 12,   compile error,   1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4 1 2 3 4,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int (*q)[3][4],i,j,k;
 int (*fun())[3][4];
 int *p;
 q=fun();
for(i=0;i<2;i++){
  p=(int*)(q+i);
  for(j=0;j<3;j++){
   for(k=0;k<4;k++){
    printf(""%d "",*p);p++;
   }
  }
 }
}
int (*fun())[3][4]{
 static int a[2][3][4]={
   {
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   },{
     1,2,3,4,
     5,6,7,8,
     9,10,11,12
   }
 };
 return (int(*)[3][4])a;
}


",     1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 9 10 11 12, 1 2 3 4 5 6 7 8 9 10 11 12 1 2 3 4 5 6 7 8 1 2 3 4,   compile error,    1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3,1
"What is the output of following program?
int main(void) {
 int *q=(int*)malloc(sizeof(int)*10),i;
 int *r=(int*)calloc(10,sizeof(int));
 int *p=q;
 for(i=0;i<10;i++){
  if(*q==*r){
   q++;
   r++;
  }
 }
 free(p);
 free(r);
}



",   0 0 0 0 0 0 0 0 0 0,invalid pointer,   compile error,  no output,2
"What is the output of following program if address of a=3998953552?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int a[]={1,2,3,4,5};
 int b;
 b=a;
 b++;
 int *c=a;
 printf(""%u %u %u"",++b,a,++c);
}



",   3998953554 3998953552 3998953556,3998953556 3998953552 3998953556,  3998953555 3998953552 3998953556,  3998953558 3998953552 3998953556,1
"
What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 int arr[]={1,2,3,4};
 int *p=arr+sizeof(arr)/sizeof(int)-1,i;
 for(i=0;i<4;i++){
  printf(""%d "",p[-i]);
  p[-i]=arr[i]+i[arr];
  printf(""%d "",p[-i]);
 }
}


",   4 2 3 4 2 8 1 4, compile error,   4 2 3 4 8 2 1 4,  4 2 3 4 2 8 4 1,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char n[]=""hello"";
 char n2[6];
 char *p=""bye"";
 p=n;
 n2=n;
 printf(""%s %s"",p,n2);
}


", compile error,hello bye,bye hello,hello hello   ,1
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
float a=5.2;
 double b=5.2;
 long double c=5.2;
 if(a==b==c)
  printf(""EQUAL "");
 if(a==5.2&&b==5.2&&c>5.2)
  printf(""INC "");
 printf(""PRADNYA\'16"");
}

",   PRADNYA\'16,EQUAL INC PRADNYA\'16,PRADNYA'16,   EQUAL PRADNYA'16,3
"What is the output of following program?
#include<stdio.h>
char _n_(int,...);
int main(){
    char (*p)(int,...)=&_n_,i;
    for(;i=(*p)(0,1,2,3,4); )
         printf(""%d"",65);
    return 0;
}
char _n_(int a,...){
    static i=-1;
    printf(""%d"",20);
    return i+++a;
}


",compile error,2065,206520,65,3
"What is the output of the following program?
#include <stdio.h>
int main() {
 printf(""%s "",""HELLO"");
 printf(""%9s "",""HELLO"");
 printf(""%.9s "",""HELLO"");
 printf(""%-9s "",""HELLO"");
printf(""%-9.9s "",""HELLO"");
 printf(""%9.9s "",""HELLO"");
}


",    HELLO HELLO          HELLO HELLO HELLO         HELLO,HELLO     HELLO HELLO HELLO HELLO         HELLO,HELLO     HELLO HELLO          HELLO     HELLO         HELLO,   HELLO     HELLO HELLO HELLO     HELLO         HELLO,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main() {
 char *p=""ANC"";
 p=""INC\'16"";
 printf(""%s"",p);
 const char *q=""PICT"";
 q=""INC16"";
 printf("" %s"",q);
 char const *s=""INC16"";
 s=""PICT"";
 printf("" %s"",s);
 char* const t=""PRADNYA"";
 printf("" %s"",t);
 const char* const u=""INC16"";
}



",INC\'16 INC16 PICT PRADNYA    ,INC'16 INC'16 PICT PRADNYA,compile error,   INC'16 INC16 PICT PRADNYA,4
"What is the output of following program?
#include <stdio.h>
#include <stdlib.h>
int main(void) {
 char a[2][2][2]={""Hi"",""bye"",""cya""};
 char b[2][2][2]={""Hi"",""bye"",""cya""};
 char c[2][2][2],d[2][2][2];
 strcpy(c,a);
 strcpy(d,b);
 if(strcmp(a,d)||strcmp(c,b))
  printf(""hi "");
 if(a==b&&c==d&&b==c&&a==d)
  printf(""hey "");
 printf(""hello"");
}



",    hi hello,hello,hi hey hello,   compile error,2
